PartNumber_TLN_BOM,Ratings
MOD08914                 ,OTHER
MOD66122-BK01            ,OTHER
MOD66148-BK01            ,OTHER
MOD66148-WH04            ,OTHER
MOD67155                 ,OTHER
MOD67210                 ,OTHER
MOD68736                 ,OTHER
MOD69050                 ,OTHER
MOD69510                 ,OTHER
MOD69597                 ,OTHER
MOD69637-WH00            ,OTHER
MOD69661-BK00            ,OTHER
MOD69677                 ,OTHER
MOD69988                 ,OTHER
MOD70101-H24             ,OTHER
MOD70101-H28             ,OTHER
MOD70101-H40             ,OTHER
MOD70101-H48             ,OTHER
MOD70101-H60             ,OTHER
MOD70102-H40             ,OTHER
MOD70103-H24             ,OTHER
MOD70103-H32             ,OTHER
MOD70103-H36             ,OTHER
MOD70103-H40             ,OTHER
MOD70103-H48             ,OTHER
MOD70104-H15             ,OTHER
MOD70104-H20             ,OTHER
MOD70104-H24             ,OTHER
MOD70104-H28             ,OTHER
MOD70104-H32             ,OTHER
MOD70104-H36             ,OTHER
MOD70104-H44             ,OTHER
MOD70105-H15             ,OTHER
MOD70105-H20             ,OTHER
MOD70105-H24             ,OTHER
MOD70105-H32             ,OTHER
MOD70105-H36             ,OTHER
MOD70620-H36             ,OTHER
MOD71041-WH00            ,OTHER
MOD71042-WH00            ,OTHER
MOD71204                 ,OTHER
MOD71309-WH00            ,OTHER
MOD71428-WH00            ,OTHER
MOD71448-BK01            ,OTHER
MOD71449-BK01            ,OTHER
MOD71898-BK00            ,OTHER
MOD72132                 ,OTHER
MOD72478-WH04            ,OTHER
MOD72956                 ,OTHER
MOD72958                 ,OTHER
MOD72959                 ,OTHER
MOD73234                 ,OTHER
MOD73248                 ,OTHER
MOD73274                 ,OTHER
MOD73329                 ,OTHER
MOD73358-H44             ,OTHER
MOD73607-GY05            ,OTHER
